lake,Catch,Residence,Size,Access ,Structure
1,3.60,92.20,0.21,no,81.00
2,0.80,86.70,0.30,no,26.00
3,2.50,80.20,0.31,no,52.00
4,2.90,87.20,0.40,no,64.00
5,1.40,64.90,0.44,no,40.00
6,0.90,90.10,0.56,no,22.00
7,3.20,60.70,0.78,no,80.00
8,2.70,50.90,1.21,no,60.00
9,2.20,86.10,0.34,yes,30.00
10,5.90,90.00,0.40,yes,90.00
11,3.30,80.40,0.52,yes,74.00
12,2.90,75.00,0.66,yes,50.00
13,3.60,70.00,0.78,yes,61.00
14,2.40,64.60,0.91,yes,40.00
15,0.90,50.00,1.10,yes,22.00
16,2.00,50.00,1.24,yes,50.00
17,1.90,51.20,1.47,yes,37.00
18,3.10,40.10,2.21,yes,61.00
19,2.60,45.00,2.46,yes,39.00
20,3.40,50.00,2.80,yes,53.00
